Broadway and Myrtle Avenue,68
"Broadway, at Forty-First Street",62
"Broadway at 41st Street, New York",10
Broadway and Myrtle Avenue.,9
Broadway at 41st Street,4
"Melrose Avenue and 150th Street, New York",4
New York,3
,3
The Bronx,3
"Broadway, At Forty-First Street",3
Broadway and 45th Street,3
Broadway at Fortyfirst Street,2
"Broadway and Myrtle Avenue, Brooklyn, NY",2
Teller's Broadway Theatre,2
Broadway at,1
"The Bronx National Bank 149th Street, west of Third Avenue",1
Broadway and Myrtle Ave,1
Broadway and Myrtle Ave.,1
Broadway & Myrtle Avenue,1
