,316
1913,10
1914,6
04/01/1912,5
11/06/1911,5
04/15/1912,4
01/13/1913,4
1912,4
01/06/1913,4
03/25/1912,4
04/08/1912,4
10/09/1911,4
10/16/1911,4
02/19/1912,4
11/20/1911,4
03/10/1913,4
10/21/1912,3
04/27/1914,3
12/30/1912,3
02/24/1913,3
03/30/1914,3
02/17/1913,3
12/16/1912,3
11/11/1912,3
02/26/1912,3
02/09/1914,3
01/22/1912,3
01/08/1912,3
04/22/1912,3
"May 10, 1915",3
09/19/1914,3
01/29/1912,3
12/04/1911,3
"February 12, 1912",2
02/23/1914,2
04/21/1913,2
03/17/1913,2
"May 4, 1914",2
04/28/1913,2
05/11/1914,2
04/13/1914,2
"March 4, 1912",2
03/18/1912,2
"April 13, 1914",2
04/14/1913,2
04/20/1914,2
01/26/1914,2
11/17/1913,2
12/09/1912,2
12/11/1911,2
05/06/1912,2
05/11/1912,2
10/13/1913,2
09/09/1912,2
10/07/1912,2
"April 5, 1915",2
03/23/1914,2
09/02/1912,2
"April 8, 1912",2
03/01/1918,2
"April 20, 1914",2
03/22/1915,2
11/18/1912,2
04/17/1915,2
04/14/1915,2
04/12/1915,2
01/13/1912,2
11/04/1912,2
05/01/1915,2
02/22/1915,2
08/28/1911,2
05/27/1912,2
"March 11, 1912",2
03/04/1912,2
10/23/1911,2
"October 23, 1911",2
10/30/1911,2
01/25/1915,2
02/01/1915,2
01/19/1914,2
04/19/1915,2
12/08/1913,1
12/8/1918,1
02/12,1
03/02/1914,1
05/04/1914,1
10/27/1913,1
02/02/1914,1
10/28/1912,1
09/29/1913,1
12/23/1912,1
03/16/1914,1
04/06/1914,1
05/05/1913,1
01/27/1913,1
09/22/1913,1
10/20/1913,1
11/25/1912,1
"May 11, 1914",1
05/12/1913,1
12/01/1913,1
02/03/1913,1
12/29/1913,1
09/23/1912,1
"Nov. 17, 1913",1
09/15/1913,1
"December 4, 1911",1
03/31/1913,1
"April 6, 1914",1
12/15/1913,1
03/09/1914,1
"September 16, 1912",1
11/24/1913,1
02/10/1913,1
00/00/1913,1
00001914,1
12/02/1912,1
10/14/1912,1
11/03/1913,1
12/22/1912,1
05/11,1
03/03/1913,1
01/12/1914,1
10/19/1913,1
"May 6, 1912",1
"May 11, 1912",1
03/24/1913,1
08/12/1912,1
02/16/1914,1
"April 12, 1915",1
01/05/1914,1
10/06/1913,1
09/11/1911,1
11/17/1912,1
09/01/1913,1
12/22/1913,1
04/14/1912,1
09/08/1913,1
"November 4, 1912",1
02/17/1918,1
"April 27, 1914",1
11/30/1912,1
03/15/1915,1
03/20/1915,1
03/15,1
03/30,1
08/26/1912,1
12/25/1911,1
10/05/1911,1
10/5/1911,1
02/24/1912,1
02/24/1918,1
02/20/1912,1
2/26/1912,1
01/06/13,1
04/13/1915,1
04/15/1915,1
04/16/1915,1
04/18/1915,1
"Feb. 12, 1912",1
"February 19, 1912",1
01/20/1913,1
03/29/1915,1
05/25/1912,1
"April 22, 1912",1
"August 5, 1912",1
03/11/1912,1
10/26/1914,1
"November 2, 1914",1
01/15/1912,1
"May 18, 1914",1
"May 25, 1914",1
01/18/1913,1
04/28/1915,1
04/29/1915,1
04/29,1
05/01,1
02/15/1915,1
"February 22, 1915",1
02/28/1915,1
"March 30, 1914",1
08/19/1912,1
"March 8, 1915",1
"January 13, 1912",1
12/18/1911,1
08/14/1911,1
04/27/1912,1
12/28/1914,1
"January 3, 1915",1
"January 4, 1915",1
01/23/1922,1
03/16/1913,1
09/25/1911,1
"October 2, 1911",1
09/04/1911,1
"Sept. 4, 1911",1
"September 28, 1914",1
09/27/1914 ,1
01/02/1922,1
12/25,1
"January 1, 1912",1
10/19/1914,1
"October 26, 1914",1
"March 18, 1912",1
03/11/1992,1
"November 9, 1914",1
"November 16, 1914",1
11/02/1914,1
11/09/1914,1
"May 3, 1915",1
12/21/1914,1
"December 26, 1914",1
11/10/1913,1
"February 5, 1912",1
"February 8, 1915",1
"February 15, 1915",1
"March 29, 1915",1
"February 1, 1915",1
"Jan. 1, 1912",1
02/08/1915,1
"December 30, 1912",1
"November 27, 1911",1
03/23/1912,1
01/16/1922,1
02/05/1912,1
01/25/1914,1
12/10/1911,1
"December 11, 1911",1
"October 16, 1911",1
10091911,1
10161911,1
"October 9, 1911",1
09/28/1914,1
10/04/1914,1
04/26/1915,1
04/24/1915,1
"November 6, 1911",1
"November 13, 1911",1
11/11/1911,1
11/30/1914,1
12/7/1914,1
12/14/1914,1
